2026-02-26 17:58:10 +0100: Memory Usage (437028K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/chipathon_2025/designs/ihp-sg13g2/edge_detector/gds/edge_detector.gds
2026-02-26 17:58:10 +0100: Memory Usage (437028K) : Ruby Version for klayout: 3.2.3
2026-02-26 17:58:10 +0100: Memory Usage (438436K) : Loading database to memory is complete.
2026-02-26 17:58:10 +0100: Memory Usage (438436K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/chipathon_2025/designs/ihp-sg13g2/edge_detector/runs/RUN_2026-02-26_17-44-04/parameters/klayout_drc_full/edge_detector_edge_detector_main.lyrdb
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : Evaluate switches.
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : tables selected: main
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : KLayout will use 1 thread(s) in tiled mode.
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : flat mode is enabled.
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : FEOL enabled: true
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : BEOL enabled: true
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : OFFGRID enabled: true
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : PIN enabled: true
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : FORBIDDEN enabled: true
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : RECOMMENDED enabled: true
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : PreCheck DRC enabled: false
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : CONNECTIVITY_RULES enabled: true.
2026-02-26 17:58:10 +0100: Memory Usage (438692K) : Read in polygons from layers.
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : activ_drw has 14 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : activ_pin has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : activ_mask has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : activ_filler has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : activ_nofill has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : activ_opc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : activ_iopc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : activ_noqrc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : biwind_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : biwind_opc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : pemwind_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439588K) : gatpoly_drw has 8 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439716K) : gatpoly_pin has 8 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439972K) : gatpoly_filler has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439972K) : gatpoly_nofill has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (439972K) : gatpoly_opc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (440100K) : gatpoly_iopc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (440228K) : gatpoly_noqrc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (440356K) : cont_drw has 198 polygons
2026-02-26 17:58:10 +0100: Memory Usage (440484K) : cont_opc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (440612K) : nsd_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (440740K) : nsd_block has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (440868K) : metal1_drw has 19 polygons
2026-02-26 17:58:10 +0100: Memory Usage (440996K) : metal1_pin has 17 polygons
2026-02-26 17:58:10 +0100: Memory Usage (441124K) : metal1_mask has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (441252K) : metal1_filler has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (441380K) : metal1_nofill has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (441508K) : metal1_slit has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (441764K) : metal1_text has 12 polygons
2026-02-26 17:58:10 +0100: Memory Usage (441764K) : metal1_opc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (441892K) : metal1_noqrc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (442020K) : metal1_res has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (442148K) : metal1_iprobe has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (442276K) : metal1_diffprb has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (442276K) : passiv_drw has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (442404K) : passiv_pin has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (442532K) : passiv_sbump has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (442660K) : passiv_pillar has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (442788K) : passiv_pdl has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (442916K) : metal2_drw has 7 polygons
2026-02-26 17:58:10 +0100: Memory Usage (442916K) : metal2_pin has 1 polygons
2026-02-26 17:58:10 +0100: Memory Usage (443044K) : metal2_mask has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (443300K) : metal2_filler has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (443300K) : metal2_nofill has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (443428K) : metal2_slit has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (443556K) : metal2_text has 1 polygons
2026-02-26 17:58:10 +0100: Memory Usage (443556K) : metal2_opc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (443684K) : metal2_noqrc has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (443812K) : metal2_res has 0 polygons
2026-02-26 17:58:10 +0100: Memory Usage (443940K) : metal2_iprobe has 0 polygons
